140584	04310 04340 04916 05200 05217
140588	04340 05200 05217
140589	04340 05200 05217
140590	04060 04350
140595	04080
140607	00562 04070 04810
140608	00190
140635	04060 04640 05200 05221
140638	03320
140654	03010
140661	03010
140662	03010
140668	02010
140669	02010
140670	05016
140671	04020 04910
140674	04080
140675	04080
140693	00562 04020 04070
140724	04010
140725	04010
140726	04010
140727	04010
140728	04010
140729	04010
140868	03320
140908	04360 05010
140910	00100
140914	03320
140924	04060 04630 05340
140926	04010 05014
140941	04115 04120 04310
140942	04150
140946	00230
154516	00040 00053 00150 00500 00830 00860 00980 00982 00983
154985	00830
155012	04610
155140	04060 04630
155192	02010
155268	04514 04530 04670
155918	04650 04660 04664
156117	04210 05010 05014
156275	00430 00450 00460 00480 00590
156767	04060 04920 05014
157074	00020 00190 05010 05012 05016
161452	04310 04520 04916 05200 05210 05213 05215 05216 05217 05221
161477	03010
170465	00062 00071 00120 00280
170501	00512
170538	04530 04664 04912 04930
170544	00071 00590 00830 03320
170546	04020 05010
170570	00620
170579	04010 04810 05200 05218
170580	04010 04810 05200 05218
170582	04010 04810 05200 05218
170583	04010 04810 05200 05218
170587	00020 00630
170630	04010 04810 05200 05218
170632	04010 04810 05200 05218
170633	04010 04810 05200 05218
170634	04742
170635	00830
170667	00190
170668	04010
170670	00062 00071 00280 00310 00380 00410 00632 00640 00650 00903 00930 01040
170700	04010 04810 05200 05218
170704	04080
170796	04080
170816	04740
170819	04630
170824	04115
170841	03410
170844	03022
170851	04010 04012 04370 04510 04540 04620 04650 04664 04720 04730 04810 04910 04912 04916 05200 05210 05211 05212 05213 05214 05215 05216 05218 05219 05220 05221 05223
170897	00600 04020 04370
170898	00310
170905	04330
170911	00562 04012 04070 04150 04210 04370 04510 04620 04630 04650 04660 04662 04664 04670 04810 04910 04930 05200 05210 05211 05212 05213 05214 05215 05218 05220 05221 05222 05223
170913	02010
170915	04110 04310 04330 04350 04520 04630 04720 04916 05016 05200 05211 05215
170917	04710
170919	00561 00564 00565
170920	04010
170921	04510 04512 04640 04810 05200 05222
170922	03320 04510 05213
170924	02010
170926	04020 04080
171009	04510 04520 04530 04670 04810 05322
171028	00190
171040	04060 04630 04640
171044	04080
171053	00770
171054	04060
171055	04662
171056	04060
171060	04630
171075	04640
171079	00604
171081	04060 04210 04630
171082	00190 05010 05012 05016
171088	00562 04070
171102	04110
171103	04010 04110
171105	04614
171108	04080
171109	04010
171115	00230
171118	00983
171136	04012 04120 04630 04660 04910 05200 05220
171140	04012 04020 04310 04720 04740 04912 04916 05214
171142	00071 00280 00310 00380 00410 00632 00640 00650 00903 00930 03320
171150	03420 04110
171152	03022
171155	00062 00071 00120 00280
171178	00010 00071 00120 00350 00624 00641 00830 00980 00982
171287	04360
171297	04514
171333	04060 04630
171334	04060 04630
171335	00190 05010 05012 05016
171337	04010 04510 04670 04720 05211
171339	05016
171341	00480 00980 00982
171347	00271 00450
171352	00361 00591 00830 00980 00982 00983
171365	05322
171369	04060 04514 04620 05310 05320 05322 05330 05340
171374	00190 05010 05012 05016
171375	00190 05010 05012 05016
171378	04010 04020 04210 04310 04360 04370 04650 04660 04662 04720 05010 05014
171385	00380
171400	01040
171402	01040
171415	04140
171436	04810
171458	00562
171499	04060 04630
171516	00140
171518	00590 00591 00830 00980 00982
171521	00590 00591 00830 00980 00982
171522	00982
171528	04650 04940 05320 05330 05332
